id,category,topic,japan_maturity,overseas_room,search_intent,purchase_need,advertiser_fit,affiliate,competition,toolability,primary_information,safety,limit,sources,source_urls,status,priority,checked
C011,Bath & hygiene,Consistent restroom button layouts,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,accessible toilet button layout,Pre-purchase or implementation comparison,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Control-label audit,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,Jurisdiction-specific accessibility; no automatic compliance verdict,TOTO_PUBLIC,https://jp.toto.com/products/public/publicrestroomitems/,Hold for topic-specific validation,,2026-09-24
C012,Bath & hygiene,Toilet sound masking,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,toilet privacy sound device,Readiness / implementation research,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Preference and power checklist,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,Vendor claims; privacy needs vary culturally,TOTO_SOUND,https://jp.toto.com/company/press/2026_06_16_02/,Hold for topic-specific validation,,2026-09-24
C013,Energy & retrofit,Heat-pump water heating / EcoCute,Established industry/history evidence; no unverified household penetration figure,US replacement buyers; compare local systems before Australia/Europe: problem-led opportunity hypothesis; volumes not measured,heat pump water heater running cost,Pre-purchase or implementation comparison,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Transparent energy and cost calculator,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work",Split CO2 and indoor integrated systems have different conditions,"IEA_HP, JRAIA, HP_DESIGN",https://www.iea.org/reports/heat-pump-monitor-2026/key-findings | https://www.jraia.or.jp/product/heatpump/i_broke.html | https://www.energystar.gov/partner-resources/residential_new/educational_resources/sup_program_guidance/heat_pump_water_heater_guide/design_considerations,Publish first,2,2026-09-24
C014,Energy & retrofit,Ductless room heat pumps,Established industry/history evidence; no unverified household penetration figure,Segment-specific hypothesis; adoption gap and search volume not measured,mini split vs central heat room sizing,Pre-purchase or implementation comparison,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Room survey for contractor,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work",Already mature in many countries; no automatic HVAC sizing,"IEA_HP, ROOM_HEAT",https://www.iea.org/reports/heat-pump-monitor-2026/key-findings | https://www.enecho.meti.go.jp/category/saving_and_new/saving/general/howto/airconditioning/index.html,Hold for topic-specific validation,,2026-09-24
C015,Energy & retrofit,Home energy management systems,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,HEMS device compatibility,Readiness / implementation research,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Protocol and tariff checklist,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work",Vendor ecosystems and data access,HEMS,https://www.enecho.meti.go.jp/category/saving_and_new/saving/general/what/index.html,Hold for topic-specific validation,,2026-09-24
C016,Energy & retrofit,Solar battery EV coordination,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,solar battery EV priority settings,Pre-purchase or implementation comparison,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Household load scheduling worksheet,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work",Grid approval; professional system design,"ENERGY_WHITE, CHADEMO",https://www.enecho.meti.go.jp/about/whitepaper/2024/html/3-2-3.html | https://www.chademo.com/technology/v2g,Hold for topic-specific validation,,2026-09-24
C017,Energy & retrofit,Vehicle-to-home backup,Specialty/pilot or limited application; does not meet a blanket everyday-adoption claim,Segment-specific hypothesis; adoption gap and search volume not measured,V2H backup runtime,Pre-purchase or implementation comparison,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Energy budget calculator,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work",Japanese technology maturity is not widespread household adoption,CHADEMO,https://www.chademo.com/technology/v2g,Hold for topic-specific validation,,2026-09-24
C018,Energy & retrofit,Smart-meter consumption feedback,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,download smart meter energy data,Pre-purchase or implementation comparison,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Local-data tariff comparison,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work","Access permissions, privacy and tariff complexity",SMART_METER,https://www.enecho.meti.go.jp/category/electricity_and_gas/electric/fee/stracture/smartmeter.html,Hold for topic-specific validation,,2026-09-24
C019,Energy & retrofit,Household demand response,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,home demand response peak tariff,Pre-purchase or implementation comparison,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Shiftable-load inventory,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work",Programme-specific rates and rules; defer financial promises,ENERGY_WHITE,https://www.enecho.meti.go.jp/about/whitepaper/2024/html/3-2-3.html,Hold for topic-specific validation,,2026-09-24
C020,Energy & retrofit,Secondary interior glazing,Catalogue/service confirmed; national uptake not established,Single-glazed homes where landlord/building permission allows: problem-led opportunity hypothesis; volumes not measured,secondary glazing window measurement,Readiness / implementation research,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Measurement and quote checklist,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work","Already established in UK; permission, moisture and escape routes","INPLUS, EST_WINDOWS",https://www.lixil.co.jp/lineup/window/inplus/ | https://energysavingtrust.org.uk/advice/windows-and-doors/,Shortlist: validate target region,9,2026-09-24
C021,Energy & retrofit,Kotatsu local heating,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,kotatsu running cost,Pre-purchase or implementation comparison,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Power and usage cost calculator,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work",Fire precautions; not whole-room heating,ROOM_HEAT,https://www.enecho.meti.go.jp/category/saving_and_new/saving/general/howto/airconditioning/index.html,Hold for topic-specific validation,,2026-09-24
C022,Energy & retrofit,Electric floor mats,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,electric heated mat energy use,Pre-purchase or implementation comparison,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Power-time calculator,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work","Temperature, product instructions and trip hazards",ROOM_HEAT,https://www.enecho.meti.go.jp/category/saving_and_new/saving/general/howto/airconditioning/index.html,Hold for topic-specific validation,,2026-09-24
C023,Energy & retrofit,Room-by-room heating schedules,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,heat one room or whole house,Pre-purchase or implementation comparison,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Usage scenario comparison,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work",Condensation and building fabric; no fixed savings,ROOM_HEAT,https://www.enecho.meti.go.jp/category/saving_and_new/saving/general/howto/airconditioning/index.html,Hold for topic-specific validation,,2026-09-24
C024,Energy & retrofit,Vacuum-insulated electric water pots,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,water boiler vs kettle running cost,Pre-purchase or implementation comparison,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Measured daily-use comparison,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work","100 V imports, standing losses and scalding","ZO_POT, KITCHEN_ENERGY",https://www.zojirushi.co.jp/syohin/pot_kettle/ve_electric_thermos/cv-gv/ | https://www.enecho.meti.go.jp/category/saving_and_new/saving/general/howto/kitchen/index.html,Hold for topic-specific validation,,2026-09-24
C025,Energy & retrofit,Induction cooking in compact homes,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,portable induction cooker power requirements,Readiness / implementation research,Energy equipment / qualified installers,Local lead referrals possible; agreement unverified,High: utilities and manufacturers (editorial estimate; no keyword audit),Circuit and cookware checklist,Primary reference available; scope and missing evidence recorded,"High: electrical, plumbing and grid work",Confirm a specific model; established overseas market,"KITCHEN_ENERGY, ZO_PRODUCTS",https://www.enecho.meti.go.jp/category/saving_and_new/saving/general/howto/kitchen/index.html | https://www.zojirushi.co.jp/syohin/,Hold for topic-specific validation,,2026-09-24
C026,Preparedness,Rolling household food stocks,Public guidance/programme established; actual household or school uptake not measured here,English-speaking households with limited storage: problem-led opportunity hypothesis; volumes not measured,emergency food stock calculator,Pre-purchase or implementation comparison,Preparedness supplies / storage,Retail links possible; programme approval unverified,High: public agencies and retailers (editorial estimate; no keyword audit),Stock deficit and rotation planner,Primary reference available; scope and missing evidence recorded,Medium to high: emergency needs vary,Public recommendation does not mean universal household practice,"STOCK, MAFF",https://www.bousai.go.jp/kyoiku/hokenkyousai/check.html | https://www.maff.go.jp/j/zyukyu/foodstock/chapter02.html,Publish first,3,2026-09-24
C027,Preparedness,Household emergency water storage,Public guidance/programme established; actual household or school uptake not measured here,Segment-specific hypothesis; adoption gap and search volume not measured,how much emergency water per person,Pre-purchase or implementation comparison,Preparedness supplies / storage,Retail links possible; programme approval unverified,High: public agencies and retailers (editorial estimate; no keyword audit),Water and container calculator,Primary reference available; scope and missing evidence recorded,Medium to high: emergency needs vary,"Local guidance, heat, pets and sanitation needs","STOCK, CDC_WATER",https://www.bousai.go.jp/kyoiku/hokenkyousai/check.html | https://www.cdc.gov/water-emergency/about/how-to-create-and-store-an-emergency-water-supply.html,Hold for topic-specific validation,,2026-09-24
C028,Preparedness,Emergency toilet bags and liners,Public guidance/programme established; actual household or school uptake not measured here,Households planning for water/sewer interruptions: problem-led opportunity hypothesis; volumes not measured,emergency toilet bags how many,Pre-purchase or implementation comparison,Preparedness supplies / storage,Retail links possible; programme approval unverified,High: public agencies and retailers (editorial estimate; no keyword audit),Use-count and reorder calculator,Primary reference available; scope and missing evidence recorded,Medium to high: emergency needs vary,Waste disposal and sewer conditions are local,"TOILET_STOCK, STOCK",https://www.meti.go.jp/shingikai/mono_info_service/disaster_toilet_popularization/pdf/001_04_00.pdf | https://www.bousai.go.jp/kyoiku/hokenkyousai/check.html,Shortlist: validate target region,10,2026-09-24
C029,Preparedness,Furniture anti-tip restraints,Public guidance/programme established; actual household or school uptake not measured here,Segment-specific hypothesis; adoption gap and search volume not measured,earthquake furniture anchor wall type,Pre-purchase or implementation comparison,Preparedness supplies / storage,Retail links possible; programme approval unverified,High: public agencies and retailers (editorial estimate; no keyword audit),Room risk inventory,Primary reference available; scope and missing evidence recorded,Medium to high: emergency needs vary,No anchor strength or structural safety certification,ANCHOR,https://www.tfd.metro.tokyo.lg.jp/lfe/bou_topic/kaguten/measures_house.html,Hold for topic-specific validation,,2026-09-24
C030,Preparedness,Earthquake-sensitive breakers,Public guidance/programme established; actual household or school uptake not measured here,Segment-specific hypothesis; adoption gap and search volume not measured,earthquake breaker retrofit,Readiness / implementation research,Preparedness supplies / storage,Retail links possible; programme approval unverified,High: public agencies and retailers (editorial estimate; no keyword audit),Electrician preparation checklist,Primary reference available; scope and missing evidence recorded,Medium to high: emergency needs vary,Electrical and life-safety work; priority reduced,BREAKER,https://www.bousai.go.jp/jishin/kanshin_breaker.html,Hold for topic-specific validation,,2026-09-24
C031,Preparedness,Household evacuation bags,Public guidance/programme established; actual household or school uptake not measured here,Segment-specific hypothesis; adoption gap and search volume not measured,emergency bag weight checklist,Pre-purchase or implementation comparison,Preparedness supplies / storage,Retail links possible; programme approval unverified,High: public agencies and retailers (editorial estimate; no keyword audit),Packing and weight worksheet,Primary reference available; scope and missing evidence recorded,Medium to high: emergency needs vary,Old checklist is context only; refresh with local authority,"GO_BAG, STOCK",https://www.bousai.go.jp/taisaku/hisaisyagyousei/youengosya/h20/pdf/bizen01.pdf | https://www.bousai.go.jp/kyoiku/hokenkyousai/check.html,Hold for topic-specific validation,,2026-09-24
C032,Preparedness,Battery emergency radio planning,Public guidance/programme established; actual household or school uptake not measured here,Segment-specific hypothesis; adoption gap and search volume not measured,emergency radio batteries runtime,Pre-purchase or implementation comparison,Preparedness supplies / storage,Retail links possible; programme approval unverified,High: public agencies and retailers (editorial estimate; no keyword audit),Battery inventory,Primary reference available; scope and missing evidence recorded,Medium to high: emergency needs vary,Radio standards and alert coverage vary,GO_BAG,https://www.bousai.go.jp/taisaku/hisaisyagyousei/youengosya/h20/pdf/bizen01.pdf,Hold for topic-specific validation,,2026-09-24
C033,Preparedness,No-cook outage meal planning,Public guidance/programme established; actual household or school uptake not measured here,Segment-specific hypothesis; adoption gap and search volume not measured,emergency food without cooking,Pre-purchase or implementation comparison,Preparedness supplies / storage,Retail links possible; programme approval unverified,High: public agencies and retailers (editorial estimate; no keyword audit),Shelf-stable menu coverage worksheet,Primary reference available; scope and missing evidence recorded,Medium to high: emergency needs vary,"Nutrition, allergies and food safety need individual attention","MAFF, STOCK",https://www.maff.go.jp/j/zyukyu/foodstock/chapter02.html | https://www.bousai.go.jp/kyoiku/hokenkyousai/check.html,Hold for topic-specific validation,,2026-09-24
C034,Preparedness,Apartment outage supply placement,Public guidance/programme established; actual household or school uptake not measured here,Segment-specific hypothesis; adoption gap and search volume not measured,store emergency water small apartment,Pre-purchase or implementation comparison,Preparedness supplies / storage,Retail links possible; programme approval unverified,High: public agencies and retailers (editorial estimate; no keyword audit),Space and weight inventory,Primary reference available; scope and missing evidence recorded,Medium to high: emergency needs vary,Floor loading and evacuation routes need local assessment,STOCK,https://www.bousai.go.jp/kyoiku/hokenkyousai/check.html,Hold for topic-specific validation,,2026-09-24
C035,Preparedness,Emergency lighting distribution,Public guidance/programme established; actual household or school uptake not measured here,Segment-specific hypothesis; adoption gap and search volume not measured,power outage flashlight for each room,Readiness / implementation research,Preparedness supplies / storage,Retail links possible; programme approval unverified,High: public agencies and retailers (editorial estimate; no keyword audit),Room and battery checklist,Primary reference available; scope and missing evidence recorded,Medium to high: emergency needs vary,Avoid treating consumer lights as code-compliant emergency lighting,GO_BAG,https://www.bousai.go.jp/taisaku/hisaisyagyousei/youengosya/h20/pdf/bizen01.pdf,Hold for topic-specific validation,,2026-09-24
C036,Delivery & logistics,Apartment parcel lockers,Catalogue/service confirmed; national uptake not established,Small apartment managers in US/UK/Australia: problem-led opportunity hypothesis; volumes not measured,how many parcel lockers for apartments,Pre-purchase or implementation comparison,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Capacity sensitivity estimator,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability","Dwell time, peaks, sizes and courier participation","MLIT_DELIVERY, LOCKER_APT",https://www.mlit.go.jp/seisakutokatsu/freight/re_delivery_reduce.html | https://sumai.panasonic.jp/exterior/takuhai/combo_maison.html,Shortlist: validate target region,4,2026-09-24
C037,Delivery & logistics,Home parcel boxes,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,parcel delivery box size,Pre-purchase or implementation comparison,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Largest-parcel dimension checker,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Theft resistance and courier acceptance not guaranteed,"LOCKER_HOME, MLIT_DELIVERY",https://sumai.panasonic.jp/exterior/takuhai/combo/combo.html | https://www.mlit.go.jp/seisakutokatsu/freight/re_delivery_reduce.html,Hold for topic-specific validation,,2026-09-24
C038,Delivery & logistics,Unattended delivery instructions,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,safe parcel drop off instructions,Readiness / implementation research,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Property permission checklist,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Liability and weather protection vary,MLIT_DELIVERY,https://www.mlit.go.jp/seisakutokatsu/freight/re_delivery_reduce.html,Hold for topic-specific validation,,2026-09-24
C039,Delivery & logistics,Scheduled parcel receipt,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,parcel delivery time window planning,Pre-purchase or implementation comparison,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Household availability planner,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Service windows cannot be transplanted between countries,YAMATO,https://www.kuronekoyamato.co.jp/ytc/customer/send/services/,Hold for topic-specific validation,,2026-09-24
C040,Delivery & logistics,Post-office parcel collection,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,parcel pickup post office alternative,Pre-purchase or implementation comparison,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Travel and opening-hours comparison,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Local carrier eligibility,"JP_RECEIVE, JP_POST",https://www.post.japanpost.jp/service/ec_uketori-biz/ | https://www.post.japanpost.jp/service/,Hold for topic-specific validation,,2026-09-24
C041,Delivery & logistics,Convenience-store parcel collection,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,convenience store parcel pickup,Readiness / implementation research,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Collection route checklist,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Confirm specific supported merchants and carrier,JP_RECEIVE,https://www.post.japanpost.jp/service/ec_uketori-biz/,Hold for topic-specific validation,,2026-09-24
C042,Delivery & logistics,Carrier pickup locations,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,collect parcel from delivery depot,Pre-purchase or implementation comparison,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Receipt option comparison,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Identity and holding-time rules are operator-specific,YAMATO,https://www.kuronekoyamato.co.jp/ytc/customer/send/services/,Hold for topic-specific validation,,2026-09-24
C043,Delivery & logistics,Standard-size small parcel packaging,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,small parcel box dimensions,Pre-purchase or implementation comparison,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Fit and packing checker,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Rates and eligibility vary; no live price claim,YAMATO_COMPACT,https://www.kuronekoyamato.co.jp/ytc/customer/send/services/compact/,Hold for topic-specific validation,,2026-09-24
C044,Delivery & logistics,Temperature-controlled parcel delivery,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,cold parcel shipping requirements,Readiness / implementation research,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Sender preparation checklist,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Food safety and cold chain risk; lower priority,YAMATO_COOL,https://www.kuronekoyamato.co.jp/ytc/customer/send/services/cool/,Hold for topic-specific validation,,2026-09-24
C045,Delivery & logistics,Airport luggage forwarding,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,luggage delivery airport deadline,Readiness / implementation research,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Timing and destination checklist,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Destination acceptance and cutoff dates,YAMATO,https://www.kuronekoyamato.co.jp/ytc/customer/send/services/,Hold for topic-specific validation,,2026-09-24
C046,Delivery & logistics,Sports equipment forwarding,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,ship ski golf bag to resort,Pre-purchase or implementation comparison,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Equipment-size and deadline worksheet,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Transport insurance and destination rules; do not interpret contracts,YAMATO,https://www.kuronekoyamato.co.jp/ytc/customer/send/services/,Hold for topic-specific validation,,2026-09-24
C047,Delivery & logistics,Parcel return and dispatch boxes,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,parcel box return pickup,Readiness / implementation research,Locker vendors / property services,Often B2B referral rather than retail; unverified,Medium: vendor tools and carrier guides (editorial estimate; no keyword audit),Courier and lock-workflow checklist,Primary reference available; scope and missing evidence recorded,"Medium: access, fire routes and liability",Outbound collection support is model-specific,LOCKER_RANGE,https://sumai.panasonic.jp/exterior/takuhai/choose/,Hold for topic-specific validation,,2026-09-24
